NAME,pct_age_18_29,pct_65_over,sex_ratio,pct_bach,pct_fb,gini,pct_insured,median_income,pct_manuf,pct_black,pct_hisp,total_pop,county_id,geo_Y,geo_X,ln_pop_den,new_pct_dem
"Abbeville County, South Carolina",0.145,0.169,94.7,0.125,0.011,0.4337,0.845,35067,0.26,0.292,0.011,25387,45001,34.229041,-82.4540577,2.9934984,0.4257
"Acadia Parish, Louisiana",0.162,0.127,94.9,0.099,0.011,0.4421,0.835,38686,0.07,0.189,0.017,61611,22001,30.291497,-92.4110366,3.591934945,0.2445
"Accomack County, Virginia",0.129,0.19,94.2,0.176,0.068,0.4717,0.809,40780,0.128,0.3,0.087,33454,51001,37.7659435,-75.7578073,3.358538507,0.4769
"Ada County, Idaho",0.166,0.106,100.2,0.353,0.063,0.434,0.865,55499,0.1,0.016,0.071,394961,16001,43.4514767,-116.2443758,4.976425693,0.4233
"Adair County, Iowa",0.114,0.218,99.2,0.155,0.01,0.4024,0.937,47872,0.119,0.005,0.007,7628,19001,41.3285283,-94.4781643,1.643571717,0.4479
"Adair County, Kentucky",0.171,0.16,98.6,0.151,0.01,0.4545,0.794,31169,0.173,0.035,0.017,18651,21001,37.1055589,-85.2813796,2.87739293,0.2184
"Adair County, Missouri",0.317,0.129,90.5,0.263,0.029,0.4825,0.863,33284,0.084,0.02,0.021,25542,29001,40.1906655,-92.6035922,2.855495826,0.4167
"Adair County, Oklahoma",0.141,0.131,99.9,0.109,0.023,0.4348,0.708,31287,0.213,0.006,0.054,22470,40001,35.8980428,-94.6510258,2.715860625,0.3268
"Adams County, Colorado",0.174,0.085,101.2,0.207,0.15,0.3984,0.79,56633,0.093,0.039,0.378,442996,8001,39.8743252,-104.3318718,4.987693946,0.569
"Adams County, Idaho",0.093,0.213,105.4,0.194,0.01,0.4285,0.752,35756,0.056,0.001,0.011,3976,16003,44.877004,-116.4616241,0.119077875,0.28
"Adams County, Illinois",0.15,0.177,94.4,0.21,0.013,0.4381,0.911,45691,0.154,0.045,0.012,67098,17001,39.9860525,-91.1949607,3.410977999,0.3143
"Adams County, Indiana",0.145,0.139,98,0.145,0.01,0.3836,0.753,45339,0.242,0.012,0.041,34343,18001,40.7457297,-84.936134,3.666719991,0.2921
"Adams County, Iowa",0.117,0.222,98.1,0.16,0.005,0.4564,0.921,45099,0.105,0.009,0.013,4027,19003,41.0216555,-94.6969059,1.300728546,0.4705
