NAME,pct_age_18_29,pct_65_over,sex_ratio,pct_manuf,median_income,pct_insured,gini,pct_bach,pct_fb,total_pop,pct_black,pct_hisp,county_id,geo_Y,geo_X,ln_pop_den,new_pct_dem
"Abbeville County, South Carolina",0.15,0.196,95.9,0.240024938,34652,0.88,0.4344,0.137,0.01,24951,0.289,0.013,45001,34.229041,-82.4540577,2.976175069,0.3472
"Acadia Parish, Louisiana",0.157,0.135,94.5,0.08416434,39837,0.844,0.4644,0.111,0.015,62372,0.192,0.022,22001,30.291497,-92.4110366,3.604210975,0.2058
"Accomack County, Virginia",0.125,0.21,95.2,0.179458159,38503,0.82,0.4662,0.183,0.066,33060,0.298,0.088,51001,37.7659435,-75.7578073,3.346691238,0.4261
"Ada County, Idaho",0.16,0.126,100.4,0.090910841,58099,0.893,0.4589,0.37,0.061,425798,0.017,0.077,16001,43.4514767,-116.2443758,5.051603723,0.3868
"Adair County, Iowa",0.114,0.227,97.1,0.13750337,48765,0.937,0.418,0.166,0.012,7330,0.006,0.016,19001,41.3285283,-94.4781643,1.603721545,0.2973
"Adair County, Kentucky",0.185,0.167,98.1,0.19576523,33873,0.879,0.4495,0.165,0.011,19156,0.035,0.018,21001,37.1055589,-85.2813796,2.904109149,0.1607
"Adair County, Missouri",0.337,0.14,89.1,0.072185312,37967,0.912,0.4906,0.305,0.033,25547,0.028,0.025,29001,40.1906655,-92.6035922,2.855691563,0.3423
"Adair County, Oklahoma",0.147,0.143,98.5,0.213485911,33184,0.735,0.4557,0.134,0.022,22161,0.01,0.061,40001,35.8980428,-94.6510258,2.702013526,0.2122
"Adams County, Colorado",0.168,0.095,101.2,0.087260722,61444,0.844,0.4046,0.224,0.153,479977,0.042,0.389,8001,39.8743252,-104.3318718,5.067871391,0.4986
"Adams County, Idaho",0.087,0.247,111.1,0.069352708,41335,0.817,0.4134,0.227,0.017,3865,0.003,0.032,16003,44.877004,-116.4616241,0.090763268,0.1901
