county_id,NAME,total_pop,new_pct_dem,pct_3rd_party,turn_out,pct_age_18_29,pct_65_over,sex_ratio,pct_fb,pct_bach,gini,pct_manuf,median_income,pct_insured,pct_black,pct_hisp,ln_pop_den,geo_Y,geo_X
1001,"Autauga County, Alabama",59285,0.263887904,0.009471444,0.621486364,0.141,0.16,93.6,0.026,0.283,0.4515,0.117,69841,0.926,0.214,0.037,3.650813246,32.5322367,-86.6464395
1003,"Baldwin County, Alabama",239945,0.204699199,0.008833574,0.645111404,0.123,0.214,95.7,0.038,0.328,0.4589,0.098,75019,0.918,0.093,0.056,4.065108892,30.6592183,-87.7460666
1005,"Barbour County, Alabama",24757,0.422904801,0.006916192,0.50224765,0.147,0.197,108.9,0.031,0.115,0.5061,0.227,44290,0.892,0.477,0.06,2.379613607,31.8702531,-85.4051035
1007,"Bibb County, Alabama",22152,0.175197489,0.00541067,0.522267435,0.151,0.17,114.5,0.013,0.115,0.4526,0.163,51215,0.917,0.212,0.034,2.620335081,33.0158929,-87.1271475
1009,"Blount County, Alabama",59292,0.091623688,0.006580117,0.617179611,0.138,0.186,102,0.047,0.156,0.4461,0.164,61096,0.898,0.021,0.101,3.569495626,33.9773575,-86.56644
1011,"Bullock County, Alabama",10157,0.726497808,0.005358013,0.50993542,0.151,0.179,120.7,0.027,0.09,0.4981,0.36,36723,0.871,0.72,0.057,1.840015578,32.1017589,-85.7172613
1013,"Butler County, Alabama",18807,0.383961261,0.005196646,0.580408555,0.131,0.214,85.3,0.015,0.138,0.4969,0.203,44881,0.877,0.454,0.016,2.235098622,31.751667,-86.6819689
1015,"Calhoun County, Alabama",116141,0.271873068,0.008736864,0.531474505,0.172,0.18,93.6,0.023,0.205,0.4586,0.193,55826,0.889,0.235,0.044,4.304208206,33.7705162,-85.8279089
1017,"Chambers County, Alabama",34450,0.380071725,0.007383447,0.520744077,0.148,0.2,87.5,0.029,0.146,0.4367,0.299,49295,0.878,0.403,0.037,3.104440706,32.9155039,-85.3940321
1019,"Cherokee County, Alabama",25224,0.119608749,0.005622304,0.634077257,0.12,0.238,97,0.021,0.159,0.4541,0.185,50769,0.91,0.055,0.017,2.867592615,34.0695153,-85.6542417
1021,"Chilton County, Alabama",45500,0.136759935,0.005575831,0.571263103,0.144,0.169,95.7,0.051,0.152,0.4259,0.139,61873,0.899,0.106,0.099,3.233019939,32.8540514,-86.7266071
1023,"Choctaw County, Alabama",12525,0.378423112,0.00421306,0.662414034,0.125,0.238,88.3,0.004,0.139,0.4554,0.202,44483,0.918,0.409,0.011,1.666568112,31.9909539,-88.2488894
1025,"Clarke County, Alabama",22802,0.41243931,0.004520342,0.669168721,0.141,0.206,89.8,0.01,0.154,0.5221,0.165,49167,0.918,0.462,0.011,1.961358279,31.6855211,-87.8186244
1027,"Clay County, Alabama",14188,0.146958709,0.00443984,0.600302061,0.132,0.205,93,0.011,0.152,0.464,0.303,51852,0.916,0.151,0.032,2.204986592,33.2703999,-85.8635254
1029,"Cleburne County, Alabama",15254,0.079219589,0.005761425,0.640311897,0.132,0.204,100.7,0.009,0.182,0.4538,0.191,53319,0.907,0.041,0.02,2.35281869,33.6719637,-85.5161261
1031,"Coffee County, Alabama",54231,0.206600808,0.007813202,0.54071772,0.14,0.171,98.9,0.044,0.215,0.4451,0.1,64672,0.895,0.186,0.094,3.428754037,31.402258,-85.9896022
1033,"Colbert County, Alabama",57648,0.263494056,0.008676069,0.597436972,0.135,0.201,93,0.015,0.203,0.453,0.184,56736,0.926,0.169,0.033,3.625342773,34.703112,-87.8014569
1035,"Conecuh County, Alabama",11411,0.426940261,0.006619229,0.663628377,0.128,0.243,86.6,0.01,0.131,0.4827,0.238,42266,0.918,0.481,0.009,1.645114865,31.4309257,-86.9887221
1037,"Coosa County, Alabama",10323,0.280775076,0.005319149,0.613448316,0.125,0.248,105.1,0.002,0.149,0.3946,0.217,57063,0.926,0.318,0.024,1.812106329,32.9314453,-86.2434818
1039,"Covington County, Alabama",37647,0.13554358,0.004744611,0.582105837,0.127,0.219,93.3,0.011,0.172,0.4934,0.141,50886,0.897,0.133,0.019,2.646487371,31.2439873,-86.4487206
1041,"Crenshaw County, Alabama",13144,0.224845679,0.003549383,0.639810427,0.136,0.199,93.9,0.022,0.168,0.5108,0.239,49040,0.908,0.252,0.018,2.120471027,31.7303106,-86.3200384
1043,"Cullman County, Alabama",89463,0.09381678,0.007177367,0.620963205,0.138,0.189,98,0.024,0.191,0.4372,0.154,60916,0.893,0.017,0.049,3.850411441,34.1319229,-86.8692666
1045,"Dale County, Alabama",49516,0.23472753,0.007485735,0.502736986,0.155,0.18,97.1,0.034,0.193,0.4498,0.102,53955,0.891,0.229,0.069,3.528475418,31.4306536,-85.609476
1047,"Dallas County, Alabama",37536,0.659196291,0.006568779,0.543126967,0.138,0.198,86.5,0.015,0.17,0.5047,0.206,36810,0.907,0.714,0.009,2.695138551,32.3335263,-87.11436
1049,"DeKalb County, Alabama",71946,0.127032417,0.006490214,0.542767503,0.146,0.174,100,0.074,0.139,0.4417,0.242,51149,0.85,0.022,0.167,3.576478352,34.4609148,-85.8040207
1051,"Elmore County, Alabama",88669,0.23556916,0.008266853,0.597732446,0.153,0.161,94.9,0.021,0.244,0.4359,0.11,75553,0.923,0.226,0.033,4.013689348,32.597229,-86.1427347
1053,"Escambia County, Alabama",36695,0.265523478,0.005425682,0.52674476,0.139,0.188,100,0.009,0.125,0.4684,0.168,44447,0.887,0.325,0.023,2.707126048,31.1222867,-87.1684097
1055,"Etowah County, Alabama",103208,0.217869326,0.007452795,0.570149032,0.141,0.195,94,0.026,0.175,0.4765,0.177,53070,0.878,0.166,0.05,4.310384525,34.0476407,-86.0342629
1057,"Fayette County, Alabama",16173,0.136668262,0.006701771,0.656866599,0.145,0.216,94.6,0.007,0.156,0.4646,0.262,50733,0.921,0.135,0.011,2.297408843,33.7161568,-87.7642923
1059,"Franklin County, Alabama",31978,0.129833568,0.007617786,0.504195717,0.142,0.172,97.4,0.093,0.149,0.4373,0.314,51493,0.882,0.046,0.198,2.969166055,34.4419892,-87.8428144
1061,"Geneva County, Alabama",26726,0.112267958,0.005649718,0.595215219,0.124,0.204,96.2,0.02,0.133,0.4222,0.127,50951,0.872,0.099,0.051,2.888265477,31.0923822,-85.8210224
1063,"Greene County, Alabama",7589,0.77645601,0.004213135,0.676219206,0.139,0.24,92.6,0.012,0.125,0.4879,0.224,31495,0.862,0.815,0.008,1.510419876,32.8444965,-87.9642005
1065,"Hale County, Alabama",14749,0.530589849,0.007270233,0.648922913,0.142,0.199,91.4,0.006,0.168,0.4965,0.151,41325,0.937,0.589,0.009,2.179593946,32.7527958,-87.6230608
1067,"Henry County, Alabama",17450,0.243307171,0.005268251,0.670100865,0.118,0.233,95.3,0.01,0.217,0.4785,0.107,60135,0.92,0.259,0.021,2.484132128,31.5169779,-85.2399712
1069,"Houston County, Alabama",107628,0.256861636,0.008462496,0.533652917,0.14,0.184,92.4,0.03,0.228,0.4788,0.099,57531,0.883,0.286,0.043,4.272054913,31.1581831,-85.2964111
